BCC, EMP, OP, EVENT, TIME, PTIME
bc00651767, 201606052, op70, start1, 13/08/2019-09:43:10, 8.312999486923218
bc00651767, 201606052, op70, finish1, 13/08/2019-09:44:03, 6.092120409011841
bc00651767, 201606052, op80, start1, 13/08/2019-09:44:56, 8.456939935684204
bc00651767, 201606052, op80, finish1, 13/08/2019-09:45:10, 7.148868799209595
bc00651767, 201606052, op70, start1, 13/08/2019-09:45:55, 3.9407546520233154
bc00651767, 201606052, op80, finish1, 13/08/2019-09:46:39, 3.986065149307251
bc00651767, 201606052, op70, start1, 13/08/2019-09:48:33, 4.595665454864502
bc00651767, 201606052, op70, finish1, 13/08/2019-09:48:50, 3.8327815532684326
bc00651767, 201606052, op80, start1, 13/08/2019-09:49:14, 4.058194637298584
bc00651767, 201606052, op70, finish1, 13/08/2019-09:49:53, 5.6517133712768555
bc00651767, 201606052, op70, start1, 13/08/2019-09:50:16, 4.054483890533447
bc00651767, 201606052, op70, start1, 13/08/2019-09:50:41, 12.013761281967163
bc00651767, 201606052, op70, start1, 13/08/2019-09:54:20, 42.14193558692932
bc00651767, 201606052, op70, finish1, 13/08/2019-09:55:12, 11.813901424407959
bc00651767, 201606052, op70, start1, 13/08/2019-09:57:08, 14.244850635528564
bc00651767, 201606052, op80, start2, 13/08/2019-10:00:03, 11.179210186004639
bc00651767, 201606052, op80, finish1, 13/08/2019-10:00:18, 7.457287788391113
bc00651767, 201606052, op70, finish2, 13/08/2019-10:00:33, 5.987946033477783
bc00651767, 201606052, op80, finish1, 13/08/2019-10:01:37, 4.638720512390137
bc00651767, 201606052, op70, start1, 13/08/2019-10:02:43, 6.7090370655059814
bc00651767, 201606052, op70, finish1, 13/08/2019-10:03:01, 4.909971475601196
bc00651767, 201606052, op80, start2, 13/08/2019-10:03:35, 5.360780715942383
bc00651767, 201606052, op80, finish2, 13/08/2019-10:03:47, 4.956812620162964
bc00651767, 201606052, op80, finish1, 13/08/2019-10:04:01, 4.709981203079224
bc00651767, 201606052, op80, start1, 13/08/2019-10:04:17, 8.010859251022339
bc00651767, 201606052, op70, start2, 13/08/2019-10:05:25, 6.038325071334839
bc00651767, 201606052, op70, start1, 13/08/2019-10:06:04, 18.879568576812744
bc00651767, 201606052, op80, start2, 13/08/2019-10:06:22, 6.147029161453247
bc00651767, 201606052, op70, start2, 13/08/2019-10:06:50, 6.5450897216796875
bc00651767, 201606052, op80, start1, 13/08/2019-10:07:47, 5.409464597702026
bc00651767, 201606052, op70, finish1, 13/08/2019-10:08:01, 5.453832626342773
bc00651767, 201606052, op70, start2, 13/08/2019-10:08:14, 4.756704807281494
bc00651767, 201606052, op70, finish2, 13/08/2019-10:08:28, 5.318809509277344
bc00651767, 201606052, op70, finish1, 13/08/2019-10:08:59, 8.376967430114746
bc00651767, 201606052, op70, finish1, 13/08/2019-10:09:28, 4.058675289154053
bc00651767, 201606052, op80, start1, 13/08/2019-10:09:40, 4.395022630691528
bc00651767, 201606052, op80, finish1, 13/08/2019-10:10:48, 7.0472187995910645
